G_CODE,G_FAMILY,G_ISO_CODE_2,G_LATITUDE,G_LONGITUDE,G_NAME
aia,106869-106871-106878-105320-105523-105751-41589-41620-106361-41645-41650,--,-10.2441,161.432,Arosi
aib,105005-105120-105272-105452-105665-24117,--,39.2714,76.4209,Ainu
aic,44372-44387-105154-44391,--,-3.09214,141.149,Ainbai
aid,104993-105089-44178-44192-44193,--,-12.5324,141.938,Alngith
aie,106869-106871-106878-105320-105523-105751-105960-106162-106367-106538-42231-42232,--,-5.55778,148.68,Amara
aif,104988-105206-105369-24299,--,-3.49104,142.387,Agi
aig,104971-105053-105172-105343-105554-105787-106006-106207-106393-106552-106663-106743-106795-104465,--,15.5531,-61.3156,Antigua and Barbuda Creole English
aih,105001-105111-28539-28547-28548-28549-28556,--,25.4908,107.844,Ai-Cham
aii,104949-105012-105129-105287-105477-105689-24756-24766-106931-24805,--,36.75,43.0,Assyrian Neo-Aramaic
aij,104949-105012-105129-105287-105477-105689-24756-24766-106931-107188-106940-24837,--,32.4578,35.5113,Lishanid Noshan
aik,104955-105023-105143-105303-105492-105708-105915-31876,--,8.59543,8.75768,Ake
ail,36549-105028-36558,--,-6.68656,142.656,Aimele
aim,105000-105104-105252-105431-105649-27448,--,24.6437,94.3556,Aimol
ain,107619-34496,--,47.2332,142.874,Ainu
aio,105001-105111-105258-105438-105654-105858-106059-106238-28629-28631-28633-28641,--,26.5145,92.3169,Aiton
aip,104989-43174-107501-43227-43229-105586-105824-43258,--,-5.12217,140.03,Burumakok
aiq,104971-105055-105174-105351-105573-105813-106029-106224-37446,--,35.283,59.1756,Aimaq
air,29073-29077-29078-29079,--,-1.8522,138.158,Airoran
ais,106869-106871-42780-42794-42795,--,23.9386,121.59,"Amis, Nataoran"
ait,105004-24338-24340,--,-8.924,-63.742,Arikem
aiw,43672-43674-43678-43680,--,5.95034,36.5721,Aari
aix,106869-106871-106878-105320-105523-105751-105960-106162-106367-106538-42231-42233-42234-42239,--,-5.99488,150.272,Aighon
aiy,104955-105023-105146-32660-32694-32698-32699-32701-32702-32703,--,4.60014,18.0352,Ali
aja,36277-36278,--,8.58003,25.6122,Aja
ajg,104955-105023-105145-29166-29214,--,7.06634,1.64992,Aja
